
 (idx)  name             origChars      arrLen           b64            br              gz              gz_b64           br_b64           %∆_arr    %∆_b64         %∆_br           %∆_gz           %∆_br_b64     %∆_gz_b64       %∆_gz - %∆_br 
     0  "blurbA.32"      32             32               44             33              52              72               44               0         37.5           3.125           62.5            125           37.5                   59.375 
     1  "blurbB.32"      32             32               44             36              52              72               48               0         37.5           12.5            62.5            125           50                         50 
     2  "blurbC.32"      32             32               44             33              52              72               44               0         37.5           3.125           62.5            125           37.5                   59.375 
     3  "blurbA.64"      64             64               88             59              77              104              80               0         37.5           -7.813          20.313          62.5          25                     28.125 
     4  "blurbB.64"      64             64               88             68              80              108              92               0         37.5           6.25            25              68.75         43.75                   18.75 
     5  "blurbC.64"      64             64               88             59              77              104              80               0         37.5           -7.813          20.313          62.5          25                     28.125 
     6  "blurbA.128"     128            128              172            107             118             160              144              0         34.375         -16.406         -7.813          25            12.5                    8.594 
     7  "blurbB.128"     128            128              172            106             124             168              144              0         34.375         -17.188         -3.125          31.25         12.5                   14.063 
     8  "blurbC.128"     128            128              172            107             118             160              144              0         34.375         -16.406         -7.813          25            12.5                    8.594 
     9  "blurbA.256"     256            256              344            188             199             268              252              0         34.375         -26.563         -22.266         4.688         -1.563                  4.297 
    10  "blurbB.256"     256            256              344            185             198             264              248              0         34.375         -27.734         -22.656         3.125         -3.125                  5.078 
    11  "blurbC.256"     256            256              344            188             199             268              252              0         34.375         -26.563         -22.266         4.688         -1.563                  4.297 
    12  "blurbA.320"     320            320              428            230             238             320              308              0         33.75          -28.125         -25.625         0             -3.75                     2.5 
    13  "blurbB.320"     320            320              428            223             236             316              300              0         33.75          -30.312         -26.25          -1.25         -6.25                   4.063 
    14  "blurbC.320"     320            320              428            230             238             320              308              0         33.75          -28.125         -25.625         0             -3.75                     2.5 
    15  "blurbA"         343            343              460            245             253             340              328              0         34.111         -28.571         -26.239         -0.875        -4.373                  2.332 
    16  "blurbB"         607            607              812            393             407             544              524              0         33.773         -35.255         -32.949         -10.379       -13.674                 2.306 
    17  "blurbC"         833            833              1112           524             534             712              700              0         33.493         -37.095         -35.894         -14.526       -15.966                   1.2 
    18  "blurb1"         2041           2041             2724           1083            1107            1476             1444             0         33.464         -46.938         -45.762         -27.683       -29.25                  1.176 
    19  "blurb2"         2111           2111             2816           1072            1096            1464             1432             0         33.396         -49.218         -48.081         -30.649       -32.165                 1.137 
    20  "blurb3"         2655           2655             3540           1256            1295            1728             1676             0         33.333         -52.693         -51.224         -34.915       -36.874                 1.469 
    21  "b1+b2"          4152           4152             5536           1857            1893            2524             2476             0         33.333         -55.275         -54.408         -39.21        -40.366                 0.867 
    22  "b1+b3"          4696           4696             6264           2022            2079            2772             2696             0         33.39          -56.942         -55.728         -40.971       -42.589                 1.214 
    23  "b2+b3"          4766           4766             6356           1937            2003            2672             2584             0         33.361         -59.358         -57.973         -43.936       -45.783                 1.385 
    24  "2b1 3b2 4b3"    21035          21035            28048          2684            2873            3832             3580             0         33.34          -87.24          -86.342         -81.783       -82.981                 0.899 
    25  "3b1 4b2 4b3"    25187          25187            33584          2686            2904            3872             3584             0         33.339         -89.336         -88.47          -84.627       -85.77                  0.866 
    26  "5b1 6b2 4b3"    33491          33491            44656          2688            2974            3968             3584             0         33.337         -91.974         -91.12          -88.152       -89.299                 0.854 
    27  "Sums and Avgs"  "sum: 104317"  "avg: 3863.593"  "sum: 139136"  "avg: 751.815"  "avg: 795.407"  "avg: 1062.222"  "avg: 1003.556"  "avg: 0"  "avg: 34.599"  "avg: -33.257"  "avg: -21.648"  "avg: 6.057"  "avg: -10.476"         11.609 
